Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D5,SFH487-2,LED_D3.0mm_IRBlack,146.750000,-101.270000,90.000000,bottom
Q3,SFH309FA-4,LED_D3.0mm_Clear,153.250000,-101.270000,90.000000,bottom
C1,100n/50V,C_0603_1608Metric,150.000000,-100.250000,0.000000,top
C2,100n/50V,C_0603_1608Metric,145.500000,-95.500000,90.000000,top
C3,100n/50V,C_0603_1608Metric,156.500000,-106.000000,-90.000000,top
C4,4u7/16V,C_0603_1608Metric,156.500000,-109.000000,90.000000,top
C5,100n/50V,C_0603_1608Metric,154.250000,-103.250000,0.000000,top
C6,100n/50V,C_0603_1608Metric,149.500000,-89.000000,180.000000,top
C7,4u7/16V,C_0603_1608Metric,154.250000,-104.750000,0.000000,top
D1,SP0503BAHT,SOT-143,150.000000,-103.500000,90.000000,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,150.000000,-110.500000,180.000000,top
Q2,S8550,SOT-23,148.000000,-95.500000,90.000000,top
Q4,S8050,SOT-23,152.000000,-95.500000,0.000000,top
R1,5k1,R_0603_1608Metric,142.000000,-107.500000,90.000000,top
R2,5k1,R_0603_1608Metric,143.500000,-107.500000,-90.000000,top
R4,24k,R_0603_1608Metric,159.000000,-106.750000,180.000000,top
R5,47k,R_0603_1608Metric,159.000000,-105.250000,0.000000,top
R7,1k,R_0603_1608Metric,161.750000,-103.250000,90.000000,top
R12,10k,R_0603_1608Metric,161.750000,-100.250000,-90.000000,top
R13,180R,R_0603_1608Metric,146.250000,-103.250000,180.000000,top
R14,13k,R_0603_1608Metric,146.500000,-91.500000,90.000000,top
R15,13k,R_0603_1608Metric,150.000000,-98.500000,180.000000,top
R16,13k,R_0603_1608Metric,152.750000,-91.500000,-90.000000,top
U2,CP2102N-Axx-xQFN20,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,158.500000,-102.000000,270.000000,top
U3,74LVC2G17,SC-74-6_1.5x2.9mm_P0.95mm,149.500000,-91.500000,0.000000,top
